city,category,year,count,region,total_count,cumulative_count
Aurangabad,injured,2011,744,non_metro,3188,744
Bengaluru,injured,2011,4952,metro,21968,4952
Bhopal,injured,2011,2970,non_metro,14041,2970
Chandigarh,injured,2011,NA,non_metro,1348,NA
Chennai,injured,2011,NA,metro,34003,NA
Coimbatore,injured,2011,1058,non_metro,6058,1058
Delhi,injured,2011,7226,metro,37498,7226
Dhanbad,injured,2011,106,non_metro,1062,106
Faridabad,injured,2011,595,non_metro,2644,595
Ghaziabad,injured,2011,817,non_metro,3509,817
Gwalior,injured,2011,1626,non_metro,7863,1626
Hyderabad,injured,2011,2528,metro,12179,2528
Indore,injured,2011,4053,non_metro,22412,4053
Jabalpur,injured,2011,2990,non_metro,14464,2990
Jaipur,injured,2011,1915,non_metro,8430,1915
Jamshedpur,injured,2011,292,non_metro,1502,292
Jodhpur,injured,2011,525,non_metro,2702,525
Kannur,injured,2011,833,non_metro,4089,833
Kanpur,injured,2011,NA,non_metro,3899,NA
Khozikode,injured,2011,NA,non_metro,5569,NA
Kochi,injured,2011,2008,non_metro,11643,2008
Kolkata,injured,2011,2420,metro,16146,2420
Kollam,injured,2011,1811,non_metro,8748,1811
Kota,injured,2011,688,non_metro,3665,688
Lucknow,injured,2011,741,non_metro,3923,741
Ludhiana,injured,2011,189,non_metro,1325,189
Madurai,injured,2011,656,non_metro,3823,656
Mallapuram,injured,2011,3534,non_metro,16956,3534
Meerut,injured,2011,679,non_metro,3923,679
Mumbai,injured,2011,5059,metro,21819,5059
Nagpur,injured,2011,1144,non_metro,5677,1144
Nashik,injured,2011,NA,non_metro,2250,NA
Patna,injured,2011,576,non_metro,2771,576
Pune,injured,2011,213,metro,5715,213
Raipur,injured,2011,NA,non_metro,5756,NA
Rajkot,injured,2011,1042,non_metro,4192,1042
Srinagar,injured,2011,511,non_metro,2382,511
Surat,injured,2011,841,non_metro,4038,841
Thiruvananthapuram,injured,2011,NA,non_metro,9616,NA
Thrissur,injured,2011,1343,non_metro,7118,1343
Tiruchirapalli,injured,2011,NA,non_metro,3204,NA
Vadodara,injured,2011,908,non_metro,5004,908
Varanasi,injured,2011,69,non_metro,843,69
Vijayawada City,injured,2011,NA,non_metro,6036,NA
Visakhapatnam,injured,2011,1286,non_metro,6247,1286
Agra,total_accidents,2012,922,non_metro,5367,2221
Ahmedabad,total_accidents,2012,1850,non_metro,9237,3870
Allahabad,total_accidents,2012,933,non_metro,4178,933
Amritsar,total_accidents,2012,152,non_metro,602,152
Asansol-Durgapur,total_accidents,2012,380,non_metro,2070,748
Aurangabad,total_accidents,2012,715,non_metro,3213,1434
Bengaluru,total_accidents,2012,5508,metro,26592,11539
Bhopal,total_accidents,2012,3623,non_metro,17456,7082
Chandigarh,total_accidents,2012,419,non_metro,1614,419
Chennai,total_accidents,2012,9663,metro,36306,9663
Coimbatore,total_accidents,2012,1128,non_metro,6661,2254
Delhi,total_accidents,2012,6937,metro,38492,14218
Dhanbad,total_accidents,2012,144,non_metro,986,282
Faridabad,total_accidents,2012,711,non_metro,3615,1514
Ghaziabad,total_accidents,2012,850,non_metro,4556,1959
Gwalior,total_accidents,2012,1974,non_metro,10037,4004
Hyderabad,total_accidents,2012,2577,metro,13488,5228
Indore,total_accidents,2012,5433,non_metro,27601,10428
Jabalpur,total_accidents,2012,2919,non_metro,15262,5825
Jaipur,total_accidents,2012,1792,non_metro,9402,3794
Jamshedpur,total_accidents,2012,424,non_metro,1838,871
Jodhpur,total_accidents,2012,533,non_metro,2812,1059
Kannur,total_accidents,2012,618,non_metro,2962,1175
